_id,Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
203553,05/04/2024,PORT BROUGHTON,5522,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1
203554,05/04/2024,PORT BROUGHTON,5522,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
203555,05/04/2024,PORT BROUGHTON,5522,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
203556,05/04/2024,PORT ELLIOT,5212,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203557,05/04/2024,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203558,05/04/2024,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
203559,05/04/2024,PORT LINCOLN,5606,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2
203560,05/04/2024,PORT PIRIE WEST,5540,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203561,05/04/2024,PROSPECT,5082,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
203562,05/04/2024,RICHMOND,5033,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203563,05/04/2024,RICHMOND,5033,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
203564,05/04/2024,ROSETOWN,5275,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
203565,05/04/2024,ROSEWATER,5013,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203566,05/04/2024,ROSTREVOR,5073,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3
203567,05/04/2024,ROSTREVOR,5073,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203568,05/04/2024,ROSTREVOR,5073,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
203569,05/04/2024,ROSTREVOR,5073,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,3
203570,05/04/2024,ROYAL PARK,5014,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1
203571,05/04/2024,ROYAL PARK,5014,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203572,05/04/2024,ROYAL PARK,5014,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
