"category_id","cat_level1","cat_level2","cat_level3"
109,Apparel,Apparel Set,Kurta Sets
110,Personal Care,Hair,Hair Colour
111,Apparel,Bottomwear,Skirts
112,Accessories,Headwear,Headband
113,Accessories,Eyewear,Sunglasses
114,Footwear,Sandal,Sports Sandals
115,Apparel,Topwear,Kurtis
116,Apparel,Loungewear and Nightwear,Robe
117,Personal Care,Makeup,Highlighter and Blush
118,Personal Care,Skin,Body Lotion
119,Accessories,Bags,Handbags
120,Accessories,Bags,Waist Pouch
121,Apparel,Topwear,Rompers
122,Apparel,Innerwear,Boxers
123,Apparel,Bottomwear,Rain Trousers
124,Free Items,Free Gifts,Scarves
125,Personal Care,Skin Care,Face Moisturisers
126,Free Items,Free Gifts,Clutches
127,Apparel,Bottomwear,Salwar and Dupatta
128,Apparel,Innerwear,Bra
129,Accessories,Jewellery,Pendant
130,Apparel,Topwear,Suits
131,Personal Care,Bath and Body,Nail Essentials
132,Accessories,Ties,Ties
133,Personal Care,Bath and Body,Body Lotion
134,Personal Care,Lips,Lip Liner
135,Sporting Goods,Sports Equipment,Footballs
136,Personal Care,Skin,Mask and Peel
137,Accessories,Headwear,Hat
138,Personal Care,Skin Care,Face Scrub and Exfoliator
139,Personal Care,Perfumes,Perfume and Body Mist
140,Accessories,Cufflinks,Ties and Cufflinks
141,Apparel,Bottomwear,Stockings
142,Accessories,Jewellery,Jewellery Set
143,Accessories,Jewellery,Earrings
144,Free Items,Free Gifts,Free Gifts
145,Apparel,Topwear,Jackets
146,Apparel,Loungewear and Nightwear,Night suits
147,Accessories,Mufflers,Mufflers
148,Apparel,Topwear,Tunics
149,Accessories,Umbrellas,Umbrellas
150,Apparel,Loungewear and Nightwear,Lounge Tshirts
151,Accessories,Jewellery,Necklace and Chains
152,Accessories,Jewellery,Bracelet
153,Personal Care,Makeup,Foundation and Primer
154,Personal Care,Fragrance,Deodorant
155,Apparel,Topwear,Sweaters
156,Accessories,Accessories,Accessory Gift Set
157,Footwear,Sandal,Sandals
158,Accessories,Accessories,Key chain
159,Personal Care,Makeup,Concealer
160,Personal Care,Skin Care,Eye Cream
161,Apparel,Bottomwear,Leggings
162,Apparel,Topwear,Waistcoat
163,Accessories,Bags,Mobile Pouch
164,Personal Care,Skin Care,Toner
165,Accessories,Bags,Travel Accessory
166,Apparel,Dress,Dresses
167,Sporting Goods,Sports Equipment,Basketballs
168,Apparel,Socks,Booties
169,Accessories,Bags,Laptop Bag
170,Accessories,Wallets,Wallets
